Room_no,Month,Day,Hour,Consumption_kWh,Average_Consumption_kWh,Wastage_kWh
1,2,6,5,2.65,1.71,0.94
1,2,6,6,1.89,1.88,0.01
1,2,6,7,2.58,1.6,0.98
1,2,6,8,2.36,1.23,1.13
1,2,6,9,3.1,1.92,1.18
1,2,6,10,1.76,1.07,0.69
1,2,6,11,3.32,1.42,1.9
1,2,6,12,1.18,0.92,0.26
1,2,6,13,1.37,1.14,0.23
1,2,6,14,2.67,1.92,0.75
1,2,6,15,3.17,1.78,1.39
1,2,6,16,1.88,1.73,0.15
1,2,6,17,1.5,1.62,0
1,2,6,18,2.19,1.53,0.66
1,2,6,19,2.79,1.29,1.5
1,2,6,20,3.34,1.67,1.67
1,2,6,21,1.43,0.52,0.91
1,2,6,22,1.95,1.18,0.77
1,2,6,23,1.98,1.85,0.13
1,2,7,0,3.32,1.66,1.66
1,2,7,1,1.37,1.15,0.22
1,2,7,2,1.25,1.59,0
1,2,7,3,2.06,1.27,0.79
1,2,7,4,3.33,1.4,1.93
1,2,7,5,1.94,1.58,0.36
1,2,7,6,2.3,1.26,1.04
1,2,7,7,0.99,1.45,0
1,2,7,8,2.23,0.64,1.59
1,2,7,9,2.25,1.29,0.96
1,2,7,10,2.61,1.6,1.01
1,2,7,11,2.25,1.67,0.58
1,2,7,12,0.97,1.28,0
1,2,7,13,2.57,1.82,0.75
1,2,7,14,0.84,0.56,0.28
1,2,7,15,1.87,1.65,0.22
1,2,7,16,3.2,1.25,1.95
1,2,7,17,3.68,1.92,1.76
1,2,7,18,3.58,1.59,1.99
1,2,7,19,3.8,1.94,1.86
1,2,7,20,2.26,1.68,0.58
1,2,7,21,2.47,0.7,1.77
1,2,7,22,2.49,0.81,1.68
1,2,7,23,1.31,1,0.31
1,3,1,0,2.2,1.59,0.61
1,3,1,1,0.52,0.79,0
1,3,1,2,3.39,1.83,1.56
1,3,1,3,0.53,0.55,0
1,3,1,4,0.34,0.61,0
1,3,1,5,2.78,1.21,1.57
1,3,1,6,0.25,0.7,0
1,3,1,7,1.14,1.49,0
1,3,1,8,1.12,1.37,0
1,3,1,9,1.04,0.84,0.2
1,3,1,10,2.56,1.7,0.86
1,3,1,11,1.77,1.45,0.32
1,3,1,12,1.68,0.79,0.89
1,3,1,13,2.28,1.06,1.22
1,3,1,14,1.15,1.28,0
1,3,1,15,2.5,0.77,1.73
1,3,1,16,1.65,1.32,0.33
1,3,1,17,2.72,1.31,1.41
1,3,1,18,2.24,1.49,0.75
1,3,1,19,3.43,1.66,1.77
1,3,1,20,2.58,1.96,0.62
1,3,1,21,1.49,1.96,0
1,3,1,22,0.94,0.88,0.06
1,3,1,23,2.07,1.25,0.82
1,3,2,0,1.76,0.62,1.14
1,3,2,1,3.13,1.47,1.66
1,3,2,2,2.44,0.53,1.91
1,3,2,3,2.83,1.77,1.06
1,3,2,4,1.38,1.75,0
1,3,2,5,1.11,0.63,0.48
1,3,2,6,2.33,1.42,0.91
1,3,2,7,3.29,1.45,1.84
1,3,2,8,2.55,1.53,1.02
1,3,2,9,2.1,1.08,1.02
1,3,2,10,2.61,1.05,1.56
1,3,2,11,2.63,1.02,1.61
1,3,2,12,2.11,0.8,1.31
1,3,2,13,1.99,0.7,1.29
1,3,2,14,2.11,1.72,0.39
1,3,2,15,3.34,1.63,1.71
1,3,2,16,2.92,1.67,1.25
1,3,2,17,3.06,1.49,1.57
1,3,2,18,1.62,0.83,0.79
1,3,2,19,2.52,1.61,0.91
1,3,2,20,1.3,0.72,0.58
1,3,2,21,1.82,0.78,1.04
1,3,2,22,0.7,0.53,0.17
1,3,2,23,2.81,1.02,1.79
1,3,3,0,2.19,1.87,0.32
1,3,3,1,1.55,1.09,0.46
1,3,3,2,2.53,0.95,1.58
1,3,3,3,3.05,1.53,1.52
1,3,3,4,3.11,1.45,1.66
1,3,3,5,0.93,1.27,0
1,3,3,6,3.46,1.89,1.57
1,3,3,7,2.9,1.31,1.59
1,3,3,8,3.83,1.87,1.96
1,3,3,9,2.16,0.5,1.66
1,3,3,10,3.06,1.35,1.71
1,3,3,11,1.97,1.08,0.89
1,3,3,12,2.99,0.99,2
1,3,3,13,2.45,1.93,0.52
1,3,3,14,3.11,1.97,1.14
1,3,3,15,3.84,1.85,1.99
1,3,3,16,2.67,1.01,1.66
1,3,3,17,3.6,1.71,1.89
1,3,3,18,2.2,1.6,0.6
1,3,3,19,3.59,1.74,1.85
1,3,3,20,0.84,1.15,0
1,3,3,21,1.34,1.37,0
1,3,3,22,3.38,1.97,1.41
1,3,3,23,2.3,0.76,1.54
1,3,4,0,3.04,1.49,1.55
1,3,4,1,1.27,0.78,0.49
1,3,4,2,2.94,1.05,1.89
1,3,4,3,2.52,0.82,1.7
1,3,4,4,2.54,1.16,1.38
1,3,4,5,1.86,0.98,0.88
1,3,4,6,0.86,1.13,0
1,3,4,7,2.04,0.8,1.24
1,3,4,8,0.71,0.77,0
1,3,4,9,2.85,1,1.85
1,3,4,10,2.05,0.89,1.16
1,3,4,11,3.18,1.83,1.35
1,3,4,12,1.2,0.97,0.23
1,3,4,13,1.86,1.9,0
1,3,4,14,0.85,1.03,0
1,3,4,15,1.49,0.7,0.79
1,3,4,16,2.85,1.58,1.27
1,3,4,17,1.06,0.97,0.09
1,3,4,18,1.59,1.09,0.5
1,3,4,19,2.03,1.08,0.95
1,3,4,20,1.83,0.54,1.29
1,3,4,21,1.31,0.72,0.59
1,3,4,22,1.27,1.13,0.14
1,3,4,23,3.5,1.96,1.54
1,3,5,0,0.61,0.52,0.09
1,3,5,1,1.14,1.44,0
1,3,5,2,0.27,0.64,0
1,3,5,3,2.09,1.15,0.94
1,3,5,4,3.17,1.45,1.72
1,3,5,5,0.85,1.27,0
1,3,5,6,2.67,1.3,1.37
1,3,5,7,1.15,0.84,0.31
1,3,5,8,0.69,0.88,0
1,3,5,9,0.29,0.5,0
1,3,5,10,1.65,1.17,0.48
1,3,5,11,1.41,1.46,0
1,3,5,12,0.48,0.89,0
1,3,5,13,3.17,1.68,1.49
1,3,5,14,3.08,1.91,1.17
1,3,5,15,3.25,1.7,1.55
1,3,5,16,1.47,0.86,0.61
1,3,5,17,1.21,0.65,0.56
1,3,5,18,3.12,1.32,1.8
1,3,5,19,2.45,1.26,1.19
1,3,5,20,2.25,0.71,1.54
1,3,5,21,2.19,0.59,1.6
1,3,5,22,2.23,1.17,1.06
1,3,5,23,1.39,1.1,0.29
1,3,6,0,2.51,1.82,0.69
1,3,6,1,2.82,1.46,1.36
1,3,6,2,2.85,1.13,1.72
1,3,6,3,2.99,1.97,1.02
1,3,6,4,3.14,1.44,1.7
1,3,6,5,0.26,0.68,0
1,3,6,6,1.18,0.58,0.6
1,3,6,7,2.96,1.65,1.31
1,3,6,8,0.72,0.97,0
1,3,6,9,2.62,1.44,1.18
1,3,6,10,2.98,1.34,1.64
1,3,6,11,2.77,1.69,1.08
1,3,6,12,0.42,0.88,0
1,3,6,13,3.32,1.9,1.42
1,3,6,14,2.38,0.98,1.4
1,3,6,15,2.13,1.85,0.28
1,3,6,16,1.68,0.72,0.96
1,3,6,17,1.43,1.32,0.11
1,3,6,18,3.01,1.41,1.6
1,3,6,19,1.74,0.63,1.11
1,3,6,20,2.61,1.22,1.39
1,3,6,21,0.66,0.82,0
1,3,6,22,3.1,1.87,1.23
1,3,6,23,2.36,0.78,1.58
1,3,7,0,2.76,1.93,0.83
1,3,7,1,0.26,0.64,0
1,3,7,2,1.37,0.81,0.56
1,3,7,3,3.56,1.9,1.66
1,3,7,4,1.88,1.41,0.47
1,3,7,5,1.76,0.73,1.03
1,3,7,6,0.99,1.28,0
1,3,7,7,1.45,0.54,0.91
1,3,7,8,2.09,1.45,0.64
1,3,7,9,3.12,1.37,1.75
1,3,7,10,2.61,1.57,1.04
1,3,7,11,3.05,1.84,1.21
1,3,7,12,2.52,1.37,1.15
1,3,7,13,1.63,1.89,0
1,3,7,14,1.28,1.73,0
1,3,7,15,1.91,0.96,0.95
1,3,7,16,1.18,0.6,0.58
1,3,7,17,2.9,1.57,1.33
1,3,7,18,1.6,1.26,0.34
1,3,7,19,1.69,1.49,0.2
1,3,7,20,2.54,1.63,0.91
1,3,7,21,1.18,1.42,0
1,3,7,22,2.79,1.45,1.34
1,3,7,23,1.28,0.57,0.71
1,4,1,0,1.58,1.33,0.25
1,4,1,1,2.21,1.49,0.72
1,4,1,2,2.51,1.08,1.43
1,4,1,3,1.81,1.67,0.14
1,4,1,4,1.04,1.4,0
1,4,1,5,0.87,0.54,0.33
1,4,1,6,1.84,1.88,0
1,4,1,7,1.34,1.7,0
1,4,1,8,1.46,1.94,0
1,4,1,9,1.46,1.16,0.3
1,4,1,10,1.89,1.42,0.47
1,4,1,11,1.67,1.64,0.03
1,4,1,12,2.29,0.62,1.67
1,4,1,13,2.45,1.61,0.84
1,4,1,14,3.28,1.68,1.6
1,4,1,15,3.1,1.79,1.31
1,4,1,16,0.88,1.26,0
1,4,1,17,3.83,1.85,1.98
1,4,1,18,1.29,1.2,0.09
1,4,1,19,1.06,1.52,0
1,4,1,20,2.7,1.23,1.47
1,4,1,21,1.39,1.26,0.13
1,4,1,22,2.05,0.91,1.14
1,4,1,23,3.58,1.63,1.95
1,4,2,0,3.28,1.67,1.61
1,4,2,1,2.12,1.69,0.43
1,4,2,2,1.86,1.84,0.02
1,4,2,3,1.56,0.97,0.59
1,4,2,4,2.58,1.97,0.61
1,4,2,5,1.7,1.77,0
1,4,2,6,1.22,0.88,0.34
1,4,2,7,1.97,0.68,1.29
1,4,2,8,1.98,0.7,1.28
1,4,2,9,1.38,1.6,0
1,4,2,10,1.26,1.43,0
1,4,2,11,1.32,1.36,0
1,4,2,12,2.97,1.02,1.95
1,4,2,13,0.51,0.75,0
1,4,2,14,3.17,1.93,1.24
1,4,2,15,0.97,1.01,0
1,4,2,16,2.14,0.73,1.41
1,4,2,17,2.64,1.01,1.63
1,4,2,18,1.76,1.69,0.07
1,4,2,19,1.04,0.51,0.53
1,4,2,20,1.53,1.15,0.38
1,4,2,21,1.37,1.67,0
1,4,2,22,2.76,1.59,1.17
1,4,2,23,1.57,0.88,0.69
1,4,3,0,3.64,1.78,1.86
1,4,3,1,2.6,1.52,1.08
1,4,3,2,2.78,1.98,0.8
1,4,3,3,2.22,0.77,1.45
1,4,3,4,1.44,0.85,0.59
1,4,3,5,1.93,1.65,0.28
1,4,3,6,2.37,1.37,1
1,4,3,7,2.56,1.58,0.98
1,4,3,8,2.51,1.8,0.71
1,4,3,9,1.3,1.25,0.05
1,4,3,10,1.85,1.7,0.15
1,4,3,11,0.38,0.55,0
1,4,3,12,2.85,1.49,1.36
1,4,3,13,1.54,1.31,0.23
1,4,3,14,2.38,1.11,1.27
1,4,3,15,2.2,0.77,1.43
1,4,3,16,1.76,1.22,0.54
1,4,3,17,1.68,1.45,0.23
1,4,3,18,3,1,2
1,4,3,19,1.38,1.46,0
1,4,3,20,2.44,1.72,0.72
1,4,3,21,2.98,1,1.98
1,4,3,22,1.38,0.55,0.83
1,4,3,23,0.62,0.93,0
1,4,4,0,1.1,1.22,0
1,4,4,1,1.57,1.65,0
1,4,4,2,3.1,1.37,1.73
1,4,4,3,2.63,1.24,1.39
1,4,4,4,2.19,1.45,0.74
1,4,4,5,2.26,1.12,1.14
1,4,4,6,3.36,1.69,1.67
1,4,4,7,2.36,0.82,1.54
1,4,4,8,3.5,1.66,1.84
1,4,4,9,3.73,1.92,1.81
1,4,4,10,1.9,2,0
1,4,4,11,3.22,1.94,1.28
1,4,4,12,2.74,1.92,0.82
1,4,4,13,1.4,1.57,0
1,4,4,14,0.88,0.51,0.37
1,4,4,15,3.4,1.63,1.77
1,4,4,16,1.32,1.33,0
1,4,4,17,2.13,0.83,1.3
1,4,4,18,2.52,0.82,1.7
1,4,4,19,3.56,1.99,1.57
1,4,4,20,2.06,1.79,0.27
1,4,4,21,2.03,1.84,0.19
1,4,4,22,2,1.92,0.08
1,4,4,23,2.71,1.03,1.68
1,4,5,0,2.33,1.76,0.57
1,4,5,1,1.76,1.48,0.28
1,4,5,2,1.99,1.79,0.2
1,4,5,3,2.43,1.95,0.48
1,4,5,4,0.8,1.19,0
1,4,5,5,2.63,1.37,1.26
1,4,5,6,1.79,0.85,0.94
1,4,5,7,1.52,1.85,0
1,4,5,8,1.71,1.27,0.44
1,4,5,9,0.76,0.82,0
1,4,5,10,2.22,1.26,0.96
1,4,5,11,1.57,1.05,0.52
1,4,5,12,2.55,1.67,0.88
1,4,5,13,3.61,1.97,1.64
1,4,5,14,2.92,0.94,1.98
1,4,5,15,1.78,0.72,1.06
1,4,5,16,0.64,0.56,0.08
1,4,5,17,1.7,1.93,0
1,4,5,18,1.06,0.71,0.35
1,4,5,19,1.07,1.26,0
1,4,5,20,1.55,1.17,0.38
1,4,5,21,2.17,1.69,0.48
1,4,5,22,3.04,1.2,1.84
1,4,5,23,2.5,1.88,0.62
1,4,6,0,2.43,0.81,1.62
1,4,6,1,2.27,1.96,0.31
1,4,6,2,1.28,1.55,0
1,4,6,3,1.23,1.25,0
1,4,6,4,2.92,1.32,1.6
1,4,6,5,0.64,1.01,0
1,4,6,6,2.11,1.03,1.08
1,4,6,7,1.16,0.6,0.56
1,4,6,8,2.26,0.66,1.6
1,4,6,9,1.59,1.84,0
1,4,6,10,2.69,1.86,0.83
1,4,6,11,0.37,0.81,0
1,4,6,12,3.17,2,1.17
1,4,6,13,2.69,1.69,1
1,4,6,14,1.9,0.56,1.34
1,4,6,15,1.92,1.4,0.52
1,4,6,16,1.75,0.94,0.81
1,4,6,17,1.97,1.74,0.23
1,4,6,18,1.25,1.34,0
1,4,6,19,2.27,1.68,0.59
1,4,6,20,3.8,1.93,1.87
1,4,6,21,2.62,1.97,0.65
1,4,6,22,3.84,1.97,1.87
1,4,6,23,0.68,0.55,0.13
1,4,7,0,2.06,1.44,0.62
1,4,7,1,2.1,1.26,0.84
1,4,7,2,0.15,0.51,0
1,4,7,3,2.36,1.14,1.22
1,4,7,4,1.49,0.6,0.89
1,4,7,5,3.31,1.48,1.83
1,4,7,6,0.77,0.94,0
1,4,7,7,1.01,1.04,0
1,4,7,8,2.72,1.32,1.4
1,4,7,9,1.61,1.08,0.53
1,4,7,10,1.03,1.47,0
1,4,7,11,2.09,1.89,0.2
1,4,7,12,0.82,0.76,0.06
1,4,7,13,1.82,0.66,1.16
1,4,7,14,1.01,0.52,0.49
1,4,7,15,1.68,1.15,0.53
1,4,7,16,0.11,0.52,0
1,4,7,17,3.21,1.72,1.49
1,4,7,18,1.85,0.58,1.27
1,4,7,19,0.89,1.15,0
1,4,7,20,3.03,1.84,1.19
1,4,7,21,2.23,1.56,0.67
1,4,7,22,1.04,0.75,0.29
1,4,7,23,3.3,1.84,1.46
1,5,1,0,0.73,1.23,0
1,5,1,1,3.29,1.86,1.43
1,5,1,2,3.35,1.67,1.68
1,5,1,3,2.82,1.02,1.8
1,5,1,4,1.32,1.17,0.15
1,5,1,5,1.25,1.55,0
1,5,1,6,2.97,1.68,1.29
1,5,1,7,2.32,1.24,1.08
1,5,1,8,2.68,1.96,0.72
1,5,1,9,0.25,0.58,0
1,5,1,10,2.03,1.39,0.64
1,5,1,11,1.89,1.3,0.59
1,5,1,12,3.01,1.41,1.6
1,5,1,13,2.69,0.77,1.92
1,5,1,14,1.42,0.86,0.56
1,5,1,15,1.19,0.97,0.22
1,5,1,16,2.51,1.65,0.86
1,5,1,17,1.4,1.49,0
1,5,1,18,0.54,0.66,0
1,5,1,19,2.78,0.8,1.98
1,5,1,20,2.41,0.93,1.48
1,5,1,21,1.61,1.38,0.23
1,5,1,22,3.45,1.96,1.49
1,5,1,23,2.29,1.71,0.58
1,5,2,0,3.17,1.47,1.7
1,5,2,1,1.65,0.51,1.14
1,5,2,2,2.16,1.48,0.68
1,5,2,3,1.9,1.8,0.1
1,5,2,4,2.92,0.94,1.98
1,5,2,5,1.62,0.5,1.12
1,5,2,6,3.22,1.78,1.44
1,5,2,7,2.65,1.88,0.77
1,5,2,8,0.42,0.5,0
1,5,2,9,0.19,0.63,0
1,5,2,10,1.63,1.65,0
1,5,2,11,2.02,1.94,0.08
1,5,2,12,2.89,1.54,1.35
1,5,2,13,0.43,0.62,0
1,5,2,14,2.42,1.23,1.19
